salami_id,Album,Album Artist,Artist,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,File Folder Count,Genre,Grouping,Kind,Library Folder Count,Location,Name,Persistent ID,Play Count,Play Date,Play Date UTC,Sample Rate,Size,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Total Time,Track Count,Track ID,Track Number,Track Type,Volume Adjustment,Year
2,Zeitgeist,,The Smashing Pumpkins,1,,213,From W,,,2010-04-23 23:12:01,2007-07-09 19:37:54,,,5,Alternative Pop / Rock,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/The%20Smashing%20Pumpkins/Zeitgeist/For%20God%20And%20Country.mp3,For God And Country,811B8ECEEFC5CD79,,,,44100,7094043,,,Smashing Pumpkins,,264855,12,61483,11,File,,2007
4,Who's Got Trouble?,,Shivaree,,,192,From W,,Ambrosia Parsley - Duke McVinnie,2010-04-23 23:08:26,2008-03-25 16:15:36,,,5,Alternative Pop / Rock,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Shivaree/Who's%20Got%20Trouble_/I%20close%20my%20eyes.mp3,I close my eyes,43E1584CD45F3FA3,,,,44100,5668757,,,,,236094,11,54847,2,File,,2005
6,Ladyhawk,,Ladyhawk,,,223,From W,,,2010-04-23 23:01:47,2007-05-09 20:20:00,,,5,Alternative Pop / Rock,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Ladyhawk/Ladyhawk/My%20Old%20Jacknife.mp3,My Old Jacknife,966911A488D4FA41,,,,44100,4761728,,,,,170527,10,40642,3,File,,2006
8,This Way,,Jewel,,,256,From W,,,2010-04-23 23:00:47,2006-10-01 15:54:22,,,5,Alternative Pop / Rock,,MPEG audio file,2,"file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Jewel/This%20Way/Love%20Me,%20Just%20Leave%20Me%20Alone.mp3","Love Me, Just Leave Me Alone",14C9F560BCCCCF79,,,,44100,7292928,,,,,227813,14,36946,11,File,,2001
10,Kiss Me Kiss Me Kiss Me,,The Cure,,,192,From W,,,2010-04-23 23:09:40,2007-03-19 14:29:22,,,5,Alternative Pop / Rock,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/The%20Cure/Kiss%20Me%20Kiss%20Me%20Kiss%20Me/How%20Beautiful%20You%20Are.mp3,How Beautiful You Are,3F1941D76DEF108C,,,,44100,7543799,,,Cure,,314226,18,58717,6,File,,1987
12,Solace,,Sarah McLachlan,,,192,From CD,,Sarah McLachlan,2010-04-23 23:08:19,2006-09-30 22:53:46,,,5,Alternative Pop / Rock,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Sarah%20Mclachlan/Solace/Mercy.mp3,Mercy,47CA88BC0813EE4F,,,,44100,6297923,,,,,262321,10,54406,10,File,,1991
14,Bif Naked,,Bif Naked,,,128,From tape,,,2010-04-23 22:52:16,2006-09-30 22:19:26,,,5,Alternative Pop / Rock,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Bif%20Naked/Bif%20Naked/Over%20You.mp3,Over You,4EE8B8D5C723228D,,,,44100,3972476,,,,,248267,11,19723,6,File,,1995
16,White Lilies Island,,Natalie Imbruglia,,,192,From CD,,Imbruglia; Wilder,2010-04-23 23:04:43,2006-09-30 22:43:10,,,5,Alternative Pop / Rock,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Natalie%20Imbruglia/White%20Lilies%20Island/Goodbye.mp3,Goodbye,C7117C66987BA6C1,,,,44100,7228945,,,,,301113,12,46510,6,File,,2002
18,Third Degree,,Johnny Winter,,,128,From tape,,,2010-04-23 23:01:27,2006-09-30 22:35:20,,,5,Blues - Contemporary Blues,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Johnny%20Winter/Third%20Degree/Mojo%20Boogie.mp3,Mojo Boogie,66759A803C0A3B3A,,,,44100,4600235,,,,,287503,10,39499,1,File,,1990
20,Slippin' In,,Buddy Guy,,,128,From tape,,,2010-04-23 22:54:33,2006-09-30 22:22:30,,,5,Blues - Contemporary Blues,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Buddy%20Guy/Slippin'%20In/Trouble%20Blues.mp3,Trouble Blues,A600AD973731E311,,,,44100,2853999,,,,,178364,11,23020,8,File,,1996
22,Deuces Wild,,B.B. King,,,192,From CD,,,2010-04-23 22:52:09,2006-09-30 22:18:52,,,5,Blues - Contemporary Blues,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/B.B.%20King/Deuces%20Wild/Dangerous%20Mood%20(With%20Joe%20Cocker).mp3,Dangerous Mood (With Joe Cocker),E52DAD90CEF8C7F1,,,,44100,7099779,,,,,295732,13,19246,10,File,,1997
24,The Word,,S-Word,,,192,From CD,,"John Medeski, North Mississippi Allstars, Robert Randolph",2010-04-23 23:08:03,2006-09-30 22:52:56,,,5,Blues - Contemporary Blues,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/S-Word/The%20Word/Blood%20On%20That%20Rock.mp3,Blood On That Rock,F78C8FB038A999BC,,,,44100,4872334,Word,,,,202919,11,53500,3,File,,2001
26,Deep Blue: The Rounder 25th Anniversary Blues Anthology,,Jimmy Rogers & Ronnie Earl,,,160,From CD,True,James Lane,2010-04-23 22:56:21,2006-10-01 18:58:56,2,1,5,Blues - Contemporary Blues,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Compilations/Deep%20Blue_%20The%20Rounder%2025th%20Anniversary/Left%20Me%20With%20A%20Broken%20Heart.mp3,Left Me With A Broken Heart,E66553C85F42A9EB,,,,44100,6293649,,,,,314566,15,26293,3,File,,1995
28,Jazz Blues Fusion,,John Mayall,,,128,From tape,,,2010-04-23 23:00:58,2006-09-30 22:33:08,,,5,Blues - Contemporary Blues,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/John%20Mayall/Jazz%20Blues%20Fusion/Exercise%20in%20C%20Major%20for%20Harmonica.mp3,Exercise in C Major for Harmonica,93433507AA4297BE,,,,44100,8030056,,,,,501864,7,37624,6,File,,1972
30,The Complete Aladdin Recordings,,Lightnin' Hopkins,,,160,From CD,,Steiner/Webster,2010-04-23 23:02:06,2006-10-01 17:44:00,2,2,5,Blues - Country Blues,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Lightnin'%20Hopkins/The%20Complete%20Aladdin%20Recordings/Honey%20Babe.mp3,Honey Babe,8B435A843FC24E5C,,,,44100,3105067,Complete Aladdin Recordings,,,,155141,21,41773,11,File,,1948
32,At the Bunkhouse,,Brownie McGhee & Sonny Terry,,,128,From tape,,,2010-04-23 22:54:03,2006-09-30 22:21:20,,,5,Blues - Country Blues,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Brownie%20McGhee%20&%20Sonny%20Terry/At%20the%20Bunkhouse/C'mon%20If%20You're%20Comin'.mp3,C'mon If You're Comin',294606DA8AD7DC18,,,,44100,3159555,,,,,197459,11,22717,9,File,,1965
34,C Compilation,,Jeff Healey,,,128,From tape,True,,2010-04-23 22:55:41,2006-09-30 22:32:14,,,5,Blues - Country Blues,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Compilations/C%20Compilation/Me%20and%20My%20Crazy%20Self.mp3,Me and My Crazy Self,C0136899DCF96867,,,,44100,2725696,,,,,170344,,25504,,File,,
36,Black Snake Moan Soundtrack,,Precious Bryant,,,320,From W,True,,2010-04-23 22:55:24,2007-07-31 18:21:00,,,5,Blues - Country Blues,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Compilations/Black%20Snake%20Moan%20Soundtrack/Morning%20Train.mp3,Morning Train,5C0D600A79CA0311,,,,44100,7229807,,,,,180688,17,24715,8,File,,2007
38,Delta Blues And Spirituals,,Son House,,,160,From CD,,Son House,2010-04-23 23:08:36,2006-10-01 16:25:10,,,5,Blues - Country Blues,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Son%20House/Delta%20Blues%20And%20Spirituals/John%20The%20Revelator.mp3,John the Revelator,0B26E9A96F702BA6,,,,44100,2753962,,,,,137586,10,55384,10,File,,1970
40,Black Snake Moan Soundtrack,,Samuel L. Jackson,,,320,From W,True,,2010-04-23 22:55:24,2007-07-31 17:54:52,,,5,Blues - Country Blues,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Compilations/Black%20Snake%20Moan%20Soundtrack/Just%20Like%20A%20Bird%20Without%20A%20Feather.mp3,Just Like A Bird Without A Feather,E0FF4AE43BF7DE8D,,,,44100,5705451,,,,,142576,17,24706,3,File,,2007
42,C Compilation,,Hot Tuna,,,128,From tape,True,,2010-04-23 22:55:56,2006-09-30 22:30:44,,,5,Blues - Country Blues,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Compilations/C%20Compilation/San%20Fransisco%20Bay%20Blues.mp3,San Fransisco Bay Blues,5AF513EEB9464148,,,,44100,4126672,,,,,257906,,25720,,File,,
44,Straight from the Heart,,Mississippi Heat,,,128,From tape,,,2010-04-23 23:03:26,2006-09-30 22:41:24,,,5,Blues - Urban Blues,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Mississippi%20Heat/Straight%20from%20the%20Heart/Straight%20From%20the%20Heart.mp3,Straight From the Heart,ABE3DA7CF3B97462,,,,44100,5398974,,,,,337423,13,44848,8,File,,1993
46,The Chess Box,,Muddy Waters,,,128,From tape,,,2010-04-23 23:04:22,2006-09-30 22:42:54,,,5,Blues - Urban Blues,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Muddy%20Waters/The%20Chess%20Box/Evil.mp3,Evil,40CFCBED5E009FBC,,,,44100,2224542,Chess Box,,,,139023,72,46258,40,File,,1989
48,James Cotton Best Verve,,James Cotton,,,160,From CD,,,2010-04-23 23:00:28,2006-09-30 22:31:30,,,5,Blues - Urban Blues,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/James%20Cotton/James%20Cotton%20Best%20Verve/Knock%20On%20Wood.mp3,Knock On Wood,5614B3E6DA8FD29C,,,,44100,3468114,,,,,173296,20,35827,9,File,,1995
50,Atlantic Blues: Piano,,Texas Johnny Brown,,,160,From CD,True,Trad.,2010-04-23 22:55:22,2006-09-30 22:56:10,4,2,5,Blues - Urban Blues,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Compilations/Atlantic%20Blues_%20Piano/After%20Hours%20Blues.mp3,After Hours Blues,0F0E2EE9B1397970,,,,44100,3800435,,,,,189910,23,24523,21,File,,1949
52,Big Mama Thornton w/ Muddy Waters Blues Band - 1966,,Big Mama Thornton,,,160,From CD,,,2010-04-23 22:52:18,2006-09-30 22:19:30,,,5,Blues - Urban Blues,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Big%20Mama%20Thornton/Big%20Mama%20Thornton%20w_%20Muddy%20Waters%20Blues/Looking%20the%20World%20Over.mp3,Looking the World Over,D7757744BC5E1A0E,,,,44100,2658373,,,,,132806,17,19849,8,File,,1966
54,Deep Blue: The Rounder 25th Anniversary Blues Anthology,,"Luther ""Guitar Junior"" Johnson",,,160,From CD,True,Luther Johnson,2010-04-23 22:56:20,2006-10-01 17:40:24,2,1,5,Blues - Urban Blues,,MPEG audio file,2,file://localhost/Users/jordanlocal/Music/Codaich%20Backup/Popular/Compilations/Deep%20Blue_%20The%20Rounder%2025th%20Anniversary/Ain't%20Treating%20Me%20Right.mp3,Ain't Treating Me Right,325035DFDA75C6EE,,,,44100,3569059,,,,,178337,15,26257,7,File,,1995
