SONG_ID,RWC_ID,GENRE,CAT_SUFFIX,TRACK_NUMBER,TITLE,ARTIST
1500,RWC_MDB_C_2001_M01,Classical,1,4,Symphony no.6 in B minor; op.74 `Pathétique'. 4th mvmt.,Tchaikovsky; Pyotr Ilich/Tokyo City Philharmonic Orchestra
1502,RWC_MDB_C_2001_M01,Classical,1,6,Piano Concerto no.1 in E minor; op.11. 2nd mvmt.,Chopin; Frédéric François/Tokyo City Philharmonic Orchestra
1504,RWC_MDB_C_2001_M02,Classical,2,2,<Le Nozze di Figaro> (The Marriage of Figaro); K.492: Overture,Mozart; Wolfgang Amadeus/Tokyo City Philharmonic Orchestra
1506,RWC_MDB_C_2001_M03,Classical,3,3,String Quartet no.14 in C# minor; op.131. 5th mvmt.,Beethoven; Ludwig van/Wood Land Notes
1508,RWC_MDB_C_2001_M03,Classical,3,6,Clarinet Quintet in B minor; op.115. 3rd mvmt.,Brahms; Johannes/Wood Land Notes
1510,RWC_MDB_C_2001_M04,Classical,4,4,Hungarian Dance no.5 in F# minor,Brahms; Johannes/Yuriko Furuichi & Yoshiko Kikuchi
1512,RWC_MDB_C_2001_M05,Classical,5,5,Nocturne no.2 in Eb major; op.9-2,Chopin; Frédéric François/Yuriko Furuichi
1514,RWC_MDB_C_2001_M05,Classical,5,8,Polonaise no.6 in Ab major `Héroïque' op.53,Chopin; Frédéric François/Mutsuko Tajima
1516,RWC_MDB_C_2001_M06,Classical,6,1,6 Sonatas and Partitas for Unaccompanied Violin no.6 (Partita no.3) in E major; BWV.1006. 3. Gavotte en Rondeau,Bach; Johann Sebastian/Michi Mizutori
1518,RWC_MDB_C_2001_M06,Classical,6,4,Violin Sonata in A major. 4th mvmt.,Franck; César/Michi Mizutori
1520,RWC_MDB_C_2001_M06,Classical,6,7,`Le Cygne' from Suite <Le Carnaval des Animaux>,Saint-Saëns; Camille/Hitoshi Miyazawa
1522,RWC_MDB_C_2001_M06,Classical,6,9,`The Flight of the Bumble Bee',Rimski-Korsakov; Nikolay/Hidehiko Watase
1524,RWC_MDB_C_2001_M06,Classical,6,11,Air 14 (Queen of the Night's Air) `Der Hölle Rache kocht in meinem Herzen' from <Die Zauberflöte> (The Magic Flute); K.620,Mozart; Wolfgang Amadeus/Makiko Saito
1526,RWC_MDB_C_2001_M06,Classical,6,13,`Der Lindenbaum' from <Winterreise>; op.89/D.911,Schubert; Franz Peter/Tomihiko Kotaka
1528,RWC_MDB_C_2001_M06,Classical,6,15,Micaela's Air `Je dis que rien ne m'épouvante' from <Carmen>,Bizet; Georges/Hiromi Tohyama
1530,RWC_MDB_G_2001_M01,Genre,1,3,In Your Arms,Suguru Kawagoshi
1532,RWC_MDB_G_2001_M01,Genre,1,8,Living in a World of Destruction,Shigekazu Kamaki
1534,RWC_MDB_G_2001_M01,Genre,1,11,21st Century,Masuhiro Goto
1536,RWC_MDB_G_2001_M02,Genre,2,4,Life Gage,Kazuo Nishi
1538,RWC_MDB_G_2001_M02,Genre,2,6,Anything for Your Love,Ichio Yamamoto
1540,RWC_MDB_G_2001_M02,Genre,2,10,Get on up and Dance,Emiko Yamanaka
1542,RWC_MDB_G_2001_M03,Genre,3,1,Wind Up,Hiroshi Haji
1544,RWC_MDB_G_2001_M04,Genre,4,9,Where Are You?,Bunmei Ogawa
1546,RWC_MDB_G_2001_M05,Genre,5,7,`Radetzky March'; op.228,Strauss I; Johann/Tokyo Kosei Wind Orchestra
1548,RWC_MDB_G_2001_M07,Genre,7,5,Grassy Dance,Shigekazu Kamaki
1550,RWC_MDB_G_2001_M07,Genre,7,7,Bjc Fiddle Rag,Satoshi Hara
1552,RWC_MDB_G_2001_M07,Genre,7,10,Not Enough Words,Bunmei Ogawa
1554,RWC_MDB_G_2001_M07,Genre,7,12,My Faith,Kenji Nakamura
1556,RWC_MDB_G_2001_M08,Genre,8,14,O Sole Mio,Edoardo Di Capua
1558,RWC_MDB_G_2001_M09,Genre,9,1,Tairyo Bune,Hiroshi Takayama
1560,RWC_MDB_J_2001_M01,Jazz,1,9,Crescent Serenade (Guitar Solo),Satoshi Yamamoto
1562,RWC_MDB_J_2001_M02,Jazz,2,5,Abyss (Piano Trio),Takao Nagai Trio
1564,RWC_MDB_J_2001_M03,Jazz,3,6,Jive (Piano Trio & Vib),Masahiro Kanno Quartet
1566,RWC_MDB_J_2001_M03,Jazz,3,9,Crescent Serenade (Piano Trio & Flute),Kazuma Ito Quartet
1568,RWC_MDB_J_2001_M04,Jazz,4,5,Image,Tetsuya Ozawa Quartet
1570,RWC_MDB_P_2001_M01,Popular,1,4,Spice of Life,Hisayoshi Kazato
1572,RWC_MDB_P_2001_M01,Popular,1,10,Getting Over,Brakes
1574,RWC_MDB_P_2001_M01,Popular,1,14,Karehairo no Twilight,Rin
1576,RWC_MDB_P_2001_M02,Popular,2,4,Tokimeki no syunkan,Eri Ichikawa
