SONG_ID,SOURCE,ANNOTATOR1,ANNOTATOR2,FILE_LOCATION,SONG_DURATION,EMPTY,SONG_TITLE,ARTIST,FORMAT,ANNOTATION_TIME1,ANNOTATION_TIME2,TEXTFILE1,TEXTFILE2,CLASS,GENRE,SUBMISSION_DATE1,SUBMISSION_DATE2,SONG_WAS_PRIVATE_FLAG,SONG_WAS_DISCARDED_FLAG,XEQS1,XEQS2
2,Codaich,5,8,/srv/salami/data/Codaich/popular/The_Smashing_Pumpkins/For_God_And_Country,264,,For_God_And_Country,The_Smashing_Pumpkins,mp3,37,45,/srv/salami/data/Codaich/popular/The_Smashing_Pumpkins/For_God_And_Country/textfile1.txt,/srv/salami/data/Codaich/popular/The_Smashing_Pumpkins/For_God_And_Country/textfile2.txt,popular,Alternative_Pop___Rock,2010-06-14,2010-06-04,0,FALSE,X,X
4,Codaich,3,7,/srv/salami/data/Codaich/popular/Shivaree/I_close_my_eyes,236,,I_close_my_eyes,Shivaree,mp3,30,,/srv/salami/data/Codaich/popular/Shivaree/I_close_my_eyes/textfile1.txt,/srv/salami/data/Codaich/popular/Shivaree/I_close_my_eyes/textfile2.txt,popular,Alternative_Pop___Rock,2010-06-02,2010-06-07,0,FALSE,X,X
6,Codaich,5,7,/srv/salami/data/Codaich/popular/Ladyhawk/My_Old_Jacknife,170,,My_Old_Jacknife,Ladyhawk,mp3,25,20,/srv/salami/data/Codaich/popular/Ladyhawk/My_Old_Jacknife/textfile1.txt,/srv/salami/data/Codaich/popular/Ladyhawk/My_Old_Jacknife/textfile2.txt,popular,Alternative_Pop___Rock,2010-07-01,2010-06-08,0,FALSE,0,X
8,Codaich,3,4,/srv/salami/data/Codaich/popular/Jewel/Love_Me___Just_Leave_Me_Alone,227,,Love_Me___Just_Leave_Me_Alone,Jewel,mp3,30,20,/srv/salami/data/Codaich/popular/Jewel/Love_Me___Just_Leave_Me_Alone/textfile1.txt,/srv/salami/data/Codaich/popular/Jewel/Love_Me___Just_Leave_Me_Alone/textfile2.txt,popular,Alternative_Pop___Rock,2010-06-02,2010-07-19,0,FALSE,X,0
10,Codaich,4,5,/srv/salami/data/Codaich/popular/The_Cure/How_Beautiful_You_Are,314,,How_Beautiful_You_Are,The_Cure,mp3,20,30,/srv/salami/data/Codaich/popular/The_Cure/How_Beautiful_You_Are/textfile1.txt,/srv/salami/data/Codaich/popular/The_Cure/How_Beautiful_You_Are/textfile2.txt,popular,Alternative_Pop___Rock,2010-07-10,2010-07-01,0,FALSE,0,0
12,Codaich,2,6,/srv/salami/data/Codaich/popular/Sarah_Mclachlan/Mercy,262,,Mercy,Sarah_Mclachlan,mp3,35,20,/srv/salami/data/Codaich/popular/Sarah_Mclachlan/Mercy/textfile1.txt,/srv/salami/data/Codaich/popular/Sarah_Mclachlan/Mercy/textfile2.txt,popular,Alternative_Pop___Rock,2010-06-04,2010-06-08,0,FALSE,X,X
14,Codaich,2,8,/srv/salami/data/Codaich/popular/Bif_Naked/Over_You,248,,Over_You,Bif_Naked,mp3,30,15,/srv/salami/data/Codaich/popular/Bif_Naked/Over_You/textfile1.txt,/srv/salami/data/Codaich/popular/Bif_Naked/Over_You/textfile2.txt,popular,Alternative_Pop___Rock,2010-06-05,2010-06-04,0,FALSE,X,X
16,Codaich,3,5,/srv/salami/data/Codaich/popular/Natalie_Imbruglia/Goodbye,301,,Goodbye,Natalie_Imbruglia,mp3,10,25,/srv/salami/data/Codaich/popular/Natalie_Imbruglia/Goodbye/textfile1.txt,/srv/salami/data/Codaich/popular/Natalie_Imbruglia/Goodbye/textfile2.txt,popular,Alternative_Pop___Rock,2010-06-02,2010-07-01,0,FALSE,X,0
18,Codaich,2,5,/srv/salami/data/Codaich/jazz/Johnny_Winter/Mojo_Boogie,287,,Mojo_Boogie,Johnny_Winter,mp3,15,25,/srv/salami/data/Codaich/jazz/Johnny_Winter/Mojo_Boogie/textfile1.txt,/srv/salami/data/Codaich/jazz/Johnny_Winter/Mojo_Boogie/textfile2.txt,jazz,Blues_-_Contemporary_Blues,2010-07-26,2010-07-27,0,FALSE,0,0
20,Codaich,4,6,/srv/salami/data/Codaich/jazz/Buddy_Guy/Trouble_Blues,178,,Trouble_Blues,Buddy_Guy,mp3,15,25,/srv/salami/data/Codaich/jazz/Buddy_Guy/Trouble_Blues/textfile1.txt,/srv/salami/data/Codaich/jazz/Buddy_Guy/Trouble_Blues/textfile2.txt,jazz,Blues_-_Contemporary_Blues,2010-06-27,2010-06-12,0,FALSE,0,0
22,Codaich,2,7,/srv/salami/data/Codaich/jazz/B_B__King/Dangerous_Mood___With_Joe_Cocker__,295,,Dangerous_Mood___With_Joe_Cocker__,B_B__King,mp3,20,25,/srv/salami/data/Codaich/jazz/B_B__King/Dangerous_Mood___With_Joe_Cocker__/textfile1.txt,/srv/salami/data/Codaich/jazz/B_B__King/Dangerous_Mood___With_Joe_Cocker__/textfile2.txt,jazz,Blues_-_Contemporary_Blues,2010-07-26,2010-06-21,0,FALSE,0,0
24,Codaich,3,9,/srv/salami/data/Codaich/jazz/S_Word/Blood_On_That_Rock,202,,Blood_On_That_Rock,S_Word,mp3,15,15,/srv/salami/data/Codaich/jazz/S_Word/Blood_On_That_Rock/textfile1.txt,/srv/salami/data/Codaich/jazz/S_Word/Blood_On_That_Rock/textfile2.txt,jazz,Blues_-_Contemporary_Blues,2010-06-28,2010-08-01,0,FALSE,0,0
26,Codaich,3,6,/srv/salami/data/Codaich/jazz/Compilations/Left_Me_With_A_Broken_Heart,314,,Left_Me_With_A_Broken_Heart,Compilations,mp3,25,30,/srv/salami/data/Codaich/jazz/Compilations/Left_Me_With_A_Broken_Heart/textfile1.txt,/srv/salami/data/Codaich/jazz/Compilations/Left_Me_With_A_Broken_Heart/textfile2.txt,jazz,Blues_-_Contemporary_Blues,2010-06-17,2010-06-12,0,FALSE,0,0
28,Codaich,7,9,/srv/salami/data/Codaich/jazz/John_Mayall/Exercise_in_C_Major_for_Harmonica,501,,Exercise_in_C_Major_for_Harmonica,John_Mayall,mp3,15,35,/srv/salami/data/Codaich/jazz/John_Mayall/Exercise_in_C_Major_for_Harmonica/textfile1.txt,/srv/salami/data/Codaich/jazz/John_Mayall/Exercise_in_C_Major_for_Harmonica/textfile2.txt,jazz,Blues_-_Contemporary_Blues,2010-12-26,2010-08-04,0,FALSE,0,0
30,Codaich,5,8,/srv/salami/data/Codaich/jazz/Lightnin___Hopkins/Honey_Babe,155,,Honey_Babe,Lightnin___Hopkins,mp3,25,20,/srv/salami/data/Codaich/jazz/Lightnin___Hopkins/Honey_Babe/textfile1.txt,/srv/salami/data/Codaich/jazz/Lightnin___Hopkins/Honey_Babe/textfile2.txt,jazz,Blues_-_Country_Blues,2010-07-24,2010-06-18,0,FALSE,0,0
32,Codaich,3,7,/srv/salami/data/Codaich/jazz/Brownie_McGhee____Sonny_Terry/C__mon_If_You__re_Comin__,197,,C__mon_If_You__re_Comin__,Brownie_McGhee____Sonny_Terry,mp3,20,15,/srv/salami/data/Codaich/jazz/Brownie_McGhee____Sonny_Terry/C__mon_If_You__re_Comin__/textfile1.txt,/srv/salami/data/Codaich/jazz/Brownie_McGhee____Sonny_Terry/C__mon_If_You__re_Comin__/textfile2.txt,jazz,Blues_-_Country_Blues,2010-06-17,2010-06-10,0,FALSE,0,0
34,Codaich,6,7,/srv/salami/data/Codaich/jazz/Compilations/Me_and_My_Crazy_Self,170,,Me_and_My_Crazy_Self,Compilations,mp3,15,25,/srv/salami/data/Codaich/jazz/Compilations/Me_and_My_Crazy_Self/textfile1.txt,/srv/salami/data/Codaich/jazz/Compilations/Me_and_My_Crazy_Self/textfile2.txt,jazz,Blues_-_Country_Blues,2010-10-22,2010-06-21,0,FALSE,0,0
36,Codaich,3,4,/srv/salami/data/Codaich/jazz/Compilations/Morning_Train,180,,Morning_Train,Compilations,mp3,15,15,/srv/salami/data/Codaich/jazz/Compilations/Morning_Train/textfile1.txt,/srv/salami/data/Codaich/jazz/Compilations/Morning_Train/textfile2.txt,jazz,Blues_-_Country_Blues,2010-06-28,2010-07-13,0,FALSE,0,0
38,Codaich,4,5,/srv/salami/data/Codaich/jazz/Son_House/John_The_Revelator,137,,John_The_Revelator,Son_House,mp3,15,20,/srv/salami/data/Codaich/jazz/Son_House/John_The_Revelator/textfile1.txt,/srv/salami/data/Codaich/jazz/Son_House/John_The_Revelator/textfile2.txt,jazz,Blues_-_Country_Blues,2010-06-27,2010-07-24,0,FALSE,0,0
40,Codaich,2,6,/srv/salami/data/Codaich/jazz/Compilations/Just_Like_A_Bird_Without_A_Feather,142,,Just_Like_A_Bird_Without_A_Feather,Compilations,mp3,20,30,/srv/salami/data/Codaich/jazz/Compilations/Just_Like_A_Bird_Without_A_Feather/textfile1.txt,/srv/salami/data/Codaich/jazz/Compilations/Just_Like_A_Bird_Without_A_Feather/textfile2.txt,jazz,Blues_-_Country_Blues,2010-07-26,2010-07-17,0,FALSE,0,0
